title,rating,review,date
Customer Service is awful,1,"I ordered a pair of Yeezy Belugas from GOAT and waited 4 days to get an update on the shoes. They said that theyâ€™re trying to reach the seller and, if they canâ€™t, they will try to find me another pair. Finally on the 5th day I got a notification that the shoes were on their way to GOAT for authentication. Finally on the 10th day when I emailed them about the shoes, they told me the seller bailed on the sale. Their policy is to notify you after 72 hours as to whether or not the transaction would come to fruition. However, after those 10 days when I got a refund I tried to look for another pair, but the market had moved up $100. I told them that they broke policy but they are avoiding answering my question or admitting guilt and because of them I had to pay more for the same shoes. I told them I could have bought them for $10 more after 72 hours because they were still listed on GOAT and StockX for a decent price. But after 10 days the price went up a lot. When I question them about it they avoid answering. They straight up keep telling me they gave me a refund. I inquired about this 5 times and each time they avoid answering my question as to why they were negligent and just respond with, the amount has been refunded to your account. Extremely unprofessional. Be aware when purchasing.",2017-09-22T08:01:36Z
Good App!,5,"I ordered some NMD R1 Japan Triple Black, they took 6-7 to come to my house, everything was in order, the shoes were new and looked great. I would recommend this app, the only thing is that i feel that the app is somewhat new, so i could see why people could complain, i hope that in the future the GOAT app grows and that they donâ€™t take advantage of their customers by making them pay way more than they are worth, but overall great app.",2017-09-21T10:25:23Z
"Great app, small critiques",4,"Iâ€™ve bought 2 pairs of shoes (so far) on goat and itâ€™s one of the best places to buy. I love that they make sure the shoe isnâ€™t a fake and their communication of where your shoe is in the shipping process. However, there are some small tweaks I would make. First off, if you want to sell on goat, be prepared to wait almost a month just get verification (yes they it takes about 18 business days.) I would like a feature where when you look at a shoeâ€™s prices, it would jump right to your shoe size you have as default (of if in want page, the size you have.) It can be long and tedious if youâ€™re just checking on the different prices and you have to scroll through pages of shoe sizes you donâ€™t care about.",2017-09-20T07:15:26Z
Quicker Shipping,5,They Need To Be Quicker On Shipping The Shoes,2017-09-20T04:51:17Z
Bad way to communicate with customers,1,"I place an order to by 750boost yeezys and the app messed up my address I immediately try contacting support but no one answers the emails or chat, it took 4 hours for someone to answer me than the second attempt took 7 hours. Im trying to not get my 1k shoes I just paid for not shipped to the wrong place but they make it impossible to get a hold of someone. They need to have an phone number where people can reach out and fix problems right away not this email tag game that they play. If I would've know it was going to be like this since the beginning I would've never spend my money on this app, they are wasting my time. Do not get this app, is frustrating and they don't value customers time at all.",2017-09-19T23:01:18Z
Irritating slow,1,"The process is a good idea, so you get authentic shoes. The fact i ordered shoes and didn't get them for two weeks is ridiculous. They guarantee 7-10 days and didn't get them until 13 days later. They ship UPS slowest rate, the sellers aren't required to ship to them fast. Should USPS 2 Day to the facility, USPS 2 day back to you.",2017-09-19T19:10:09Z
Shoes purchased are not promised,1,"Paid for a pair of sneakers that were confirmed by seller. Seller never sent the shoes after I received a confirmation that the shoes were on their way through UPS. Seller basically reneged on the deal and now the shoes cost way more and the Goat says they'll refund me. Now they expect me to pay more on a new bid when I'm already paying a premium on the shoe, instead of them paying the difference on the new order after confirming that the original shoes were in transit. Why should I miss out after they confirmed the shoe was coming. If they had a better system I could've possibly bought the sneaker from another seller the same price or lower. I already have purchased other sneakers and want to buy more but this left a sour taste. Poor customer service because in a store if something you bought was damaged or misplaced you would get the same item at the price you bought it, might I add, a discount. I'll edit this review if it turns out that they did the right thing and honor my initial purchase.",2017-09-19T16:48:23Z
here's an idea,5,"Goat is an amazing app but I know what would make you guys even more successful. You guys should create an app just like goat but make it so that it sells streetwear items ( supreme, bape, ASSC ) you'd guys would make it hella dope.",2017-09-19T13:25:12Z
I have questions,4,I think this app is really good. But my question is how are they selling shoes if the shoes hasn't released yet? I would like a answer please I said please,2017-09-19T05:52:45Z
Great app but at Sort Pricing,4,I love this app . I've purchased a pair of shoes and am satisfied but a price sorted would make things much easier for everyone .,2017-09-19T02:45:05Z
