title,rating,review,date
Authentication Guaranteed,5,Love this site. If you want to sell or purchase authentic kicks... especially expensive ones... this is the site for you. Go anywhere else and there's a good chance someone will scam you.,2017-07-22T22:19:19Z
Great,5,"App layout is easy to use, my first sneakers I purchased on here were yeezys and I got them fast + it is a legitimate service selling real sneakers All round 5 stars",2017-12-01T20:53:02Z
Amazing,5,Just got myself a pair of Cream White Yeezys and could be happier ! Totally authentic and brand new and the box in amazing condition still with tags ! Iâ€™m so happy ! I really consider this app if you want authentic creps !,2017-11-30T22:04:25Z
Just bought yeezys for Â£10,5,This app is amazing because I bought yeezys for Â£10,2017-11-18T09:07:39Z
Let down,2,I was about to purchase Air max 97 undefeated in black however monthly payments are not available in the UK. What is GOAT doing? Let the people of the UK pay monthly please.,2017-11-15T22:09:41Z
"Good App, Bad Service",3,"App layout is really good, purchasing a pair is really good. Only problem is after you purchase, there is no communication, they leave you in the dark. No updates such as arriving to them, been shipped already, nothing. Looking at delivery time 2-3 weeks from purchase if you live in the UK. Feel as if this app would do so much better if they focused a lot more on the UK..",2017-10-30T17:42:43Z
Great but...,4,I think the app is great but it really need to have either less shipping fees to UK or have UK currency (Â£),2017-10-29T21:11:23Z
Great but just the currency,4,It is such a great app and has dope shoes but the only problem is that it doesnâ€™t have English currency (Â£) so if that would change GOAT would 100% get a 5/5 rating from me,2017-10-25T11:03:45Z
Over 2 months and still not approved to sell,1,Don't understand the need to take pics of shoes and then a review to happen before you can sell. Applied over 2 months ago and still not approved.,2017-09-29T10:19:42Z
No good for people outside of US,2,If you want to pay monthly you can only be in the US why not just let people use Paypal so that other people can order monthly payments,2017-09-25T17:06:47Z
BE A HYPEBEAST,4,"Amazing app for HYPEBEASTS like me , but can you use it from the UK",2017-09-25T16:27:08Z
Good idea,1,"Good idea and nice try for an app, needs work, for starters I couldn't even login with my real name? $50 delivery to the UK Is pushing it abit",2017-09-21T21:19:02Z
Currency,4,Needs English currency so others can use it. Otherwise sick,2017-09-16T12:23:46Z
Ye,5,UWNT yeezy then get yeezy,2017-09-07T10:04:47Z
"Great, but...",4,"This app is amazing for any sneakerhead / hype beast looking for shoes that may be hard to find. The app is also great for its variety of shoe and appeal to all audiences. I think the addition of a location feature should be added however. By this, I would like to know if certain shoes on the app are being sold from a certain country. As I am from the UK, I would love to know if a shoe is being sold in the United Kingdom. With the addition of this feature, I hope that I would not have to pay for shipping.",2017-09-04T12:21:06Z
Great,4,It's an amazing app reliable and very useful however I think there should be a filter for price so I can search for shoes in my price range. So overall amazing but add more filter options!,2017-09-02T19:39:10Z
Great app,5,Amazing app so many shoes and is very reliable first shown for me by faze banks but then tried to for myself,2017-08-27T22:05:06Z
Banks showed this app,5,So ye banks showed this app and I got it,2017-08-27T14:37:31Z
The best,5,Really amazing,2017-07-29T20:51:37Z
Improvements,3,I'd rate this more if it was possible to pay monthly world wide and not just based in America. If that gets improved then it'll be 5 stars from me.,2017-07-28T18:20:40Z
Best sneaker app,5,Sure stock x is more well known but goat just feels better to use.,2017-07-27T06:20:12Z
Goat App,5,Brilliant app recommended for those who love sneakers (sometimes for steals) and already authenticated for those who don't have the time etc _Ÿ‘Œ_Ÿ‘ç_Ÿ_‘_Ÿ’¯,2017-07-25T21:37:19Z
Great,5,One of the best places to find rare and good sneakers,2017-07-25T20:56:20Z
Goat,5,Amazing,2017-07-24T12:40:27Z
Amazing,5,Best app ever,2017-07-23T17:29:10Z
Goat,5,Best sneaker app by miles,2017-07-20T23:22:09Z
GOAT,5,Quality,2017-07-19T18:33:32Z
App's fine...,3,App is good but jeeez do these guys take their sweet a*% time shipping. Expect excuse after excuse.,2017-07-07T13:16:58Z
Super helpfull,5,Amazing and super helpfull found all the shoes i wanted,2017-07-07T07:00:50Z
Decent,3,"Well set up and looks great, however $50 delivery to the U.K. Is far too much. Also you should be able to set price ranges as well as other filters, or at least low-high etc.",2017-06-11T18:14:38Z
Brilliant for sneaker heads,5,"Works just like the photos show, easy to use.",2017-06-07T07:13:36Z
Robbing B*****S,1,Do not use this app I made the mistake of listening to my son! I paid $50 shipping and a further Â£40 when they arrived BE WARNED DO NOT MAKE THE SAME MISTAKE AS ME,2017-06-05T16:16:41Z
Bad programming,2,"The idea behind the app is great, but if the app doesn't work then it's irrelevant. Shoe picture load as black images and when scrolling if you want to stop you can't because he app decides when it wants to stop scrolling.",2017-05-26T15:54:38Z
Greatest shoe app,5,Soooooooo good,2017-05-20T09:03:15Z
Not that great,1,Unless you live in America the app isn't really that good. In from the uk and it only lets me select us sizes. Also in the setting I can't make it so I can see things in pounds not dollars.,2017-04-11T19:07:11Z
Just the Best,5,The best place for exclusive sneakers and the easiest app to navigate.,2017-04-06T15:16:23Z
_Ÿ˜¬,1,Seems sketchy,2017-04-05T19:03:25Z
Very good,5,"Easy to navigate and easy to buy and sell, good system",2017-04-05T09:01:45Z
Amazing,5,Literally every single designer shoe you can think of on here. They are a little over priced but you know them at they are legit. Great app for finding some of the rarer shoes.,2017-03-16T08:07:32Z
Rep provider,1,Their staff cannot tell real from fake. Not recommended.,2017-03-14T09:46:41Z
Flexible and good prices,5,lit lit... good prices and the feature of bidding upon the shoes aswell but overall a good app i recommend it,2017-03-01T20:42:24Z
Amazing app!,5,This is where everyone needs to buy sneakers!,2017-02-25T18:23:25Z
Go to place to buy sneakers!,5,"With hundreds of pairs of exclusive guaranteed authentic trainers all in one place, this is the place to go. Highly recommend.",2017-01-28T16:41:28Z
Sneaker Heads Dream!,5,If you love sneakers and you want to get your hands on any pair for reasonable prices this is the only app you need. They authenticate the sneakers as well so you have no fear they'll be fake when you receive them.,2017-01-03T20:45:15Z
How apps are meant to be made,5,"Everything just works well, user experience is definitely at a high with this app.",2017-01-02T21:20:26Z
GOAT,5,amazing app very simple,2016-12-31T13:42:04Z
Safe and authentic,4,Great concept for a safe marketplace for genuine buyers and sellers. Navigating through the app is so easy!,2016-12-14T01:11:18Z
Marvellous,5,This is an awesome app. Absolutely love it,2016-11-23T10:40:37Z
Great App!,5,Download it!,2016-11-20T09:21:05Z
1,5,Good,2016-11-18T18:38:39Z
Pretty Good!,4,I've never purchased anything but it's a good app to search for sneakers you've never even heard of!,2016-05-01T17:41:11Z
One of the best apps there is...,5,Love the app. Just need it in the UK and it will be perfect,2016-04-02T22:36:13Z
Pretty good,4,The app looks great and the selection and pricing is good. However it takes a while to get the shoes you purchase if you are out of the USA,2015-12-10T19:01:03Z
"Genius idea, poor app",3,Literally no use outside of the US... I would like to see prices in GBP! Thanks,2015-11-28T22:19:54Z
_Ÿ˜¢,1,App advised shoes are available then crashes constantly and doesn't allow you to purchase. Just after downloads,2015-11-27T20:50:07Z
Good idea poor execution,3,It's like you aren't even aware this is on app stores outside of america. Everythings in dollars and us sizes and in trying to register it keeps crashing,2015-11-23T20:49:29Z
hahaha,5,henhaodetuanjiann,2017-11-28T17:37:22Z
Been crashing a lot recently.,3,"Not a phone problem, apps been kinda weird since last update.",2017-11-28T06:45:57Z
Crashing,5,whenever i enter the used section the app crashes please fix,2017-11-27T07:19:16Z
Great app,5,It is a great app to buy sneakers from nothing bad ever happened to me with t and I suggest it for sneakers,2017-11-24T21:41:29Z
Best online shopping ever,5,I just downloaded goat and it has every thing for perfect prices and perfect condition to you can get used ones for cheaper and ask for an offer I think it is the best shopping website I've ever seen I recommend it to every one that like shoe shopping,2017-11-23T02:10:47Z
Yeezy,5,I just got a pair of brand new yeezys from this app. I swear they are real and itâ€™s not a scam!! Check them out,2017-11-21T09:22:55Z
Waste of time,4,Order a shoe and they came 3 months later absolutely garbage I would not waste your time with this app,2017-11-20T23:40:50Z
GOAT,5,"By far the best and easiest way to buy and sell shoes, thanks so much _Ÿ™Œ_Ÿè_ 100/10",2017-11-18T00:11:26Z
Garbage,1,Garbage garbage garbage,2017-11-08T04:02:22Z
so far so good,5,"ordered japan nmds on a sunday night and they were delivered to my doorstep by the friday that week. was international as well (canada). when i opened them they were packaged up very nicely. overall very pleased with my experience. only complaint i have would be informing customers of import tax when they are putting shipping info, as it didnâ€™t cross my mind and i had to pay another 40. however i guess it isnâ€™t much to ask customers to be educated on that kind of thing before hand haha. i recommend this app to anyone looking for a good source of nice shoes.",2017-10-31T15:18:06Z
Great app!,4,Great app but needs a budget in the search section and needs a pickup option,2017-10-29T21:00:01Z
Amazing app!,5,I ordered a pair of shoes 1 week ago and they came today thatâ€™s one week shipping! And Iâ€™m in Canada great app guys!,2017-10-28T19:27:14Z
Good,5,"Bought a pair of nmds of goat, took about a week or so to get to canada. Would recommend!",2017-10-25T05:55:24Z
Hmmmm,2,I donâ€™t know how legit this is but itâ€™s all definitely overpriced and who even knows the authenticity of the shoes,2017-10-21T05:50:08Z
No Goats for sale,1,Searched for Boer and Nubian and both turned up zero results. All I see is running shoes. :(,2017-10-08T23:59:16Z
Stole my money,1,I bought a shoe from them. They emailed me saying they can't get it to me and they will pay me back. But they never did. They stole my 200$ and I'm a student. I worked for that money.,2017-10-06T18:11:38Z
THEY NEVER HAVE SHOES!!!!!!!!!,1,"They never had shoes and they took your money. Yes they do refund few weeks later. I live in Canada, and the exchange rate made me lost 70 CAD for a paying and refunding process. WASTE OF TIME AND MONEY.",2017-10-04T21:19:21Z
RiceGum,5,I'm here because of RiceGum lol,2017-10-02T13:31:44Z
Banks?,5,anyone here from Banks,2017-09-27T20:27:25Z
garbage,1,waste of time and money. could have ordered the shoes and got them much cheaper and faster anywhere else.,2017-09-26T21:22:14Z
Overpowered,5,It just to good,2017-09-24T22:53:58Z
Shady ?,2,"I installed it because I'm a sneaker head and they kept appearing on my Instagram ads so I figured why not give it a shot.  Firstly this is an American based app so what I thought was a decent deal turned out to be in US.  Not even including shipping.  I couldn't even see the shoes without it taking me almost straight to check out, I'm just supposed to assume someone will send me a pair of legit shoes for all this money I'm spending ? Come on guys, your app barely has any reviews.",2017-09-22T08:00:03Z
